News date,Price change
2010-08-02,0.34250100000000216
2010-08-02,0.34250100000000216
2013-05-21,-0.48500000000000654
2013-05-21,-0.48500000000000654
2010-11-02,0.1075000000000017
2011-04-05,0.07250000000000156
2012-03-15,-0.1875
2012-02-08,-0.15999899999999911
2012-02-08,-0.15999899999999911
2012-02-08,-0.15999899999999911
2013-02-06,-0.480000000000004
2010-12-31,0.029998999999996556
2010-10-11,0.032498999999997835
2010-12-29,-0.10749999999999815
2010-12-29,-0.10749999999999815
2011-04-03,0.26249799999999723
2011-06-10,0.002500000000001279
2013-08-16,0.6624989999999968
2013-04-28,0.0424989999999994
2010-10-26,-0.09250000000000114
2010-12-06,-0.5274999999999999
2012-07-16,0.024997999999996523
2012-06-26,0.0200010000000006
2011-05-05,0.22750100000000018
2011-05-05,0.22750100000000018
2013-08-29,-0.24750100000000685
2011-02-20,-0.15000000000000213
2012-02-07,0.1450010000000006
2012-01-25,0.03500000000000014
2012-01-25,0.03500000000000014
2012-01-25,0.03500000000000014
2012-01-25,0.03500000000000014
2012-09-07,0.06499800000000278
2012-11-01,-0.16500099999999662
2013-05-29,0.672501000000004
2013-05-29,0.672501000000004
2010-11-04,-0.11749799999999766
2010-10-28,0.44000099999999875
2013-03-27,0.27249899999999627
2013-04-25,-0.3825000000000003
2011-07-09,-0.17749999999999844
2012-07-05,-0.1999999999999993
2012-07-05,-0.1999999999999993
2010-09-27,0.08499899999999627
2011-03-28,-0.040001000000000175
2013-04-16,-0.3775019999999998
2013-09-12,0.8774990000000003
2013-09-12,0.8774990000000003
2010-10-22,0.15499799999999553
2011-09-22,0.5300000000000011
2010-11-08,-0.1674989999999994
2010-06-21,-0.5599989999999977
2012-07-10,-0.2925020000000025
2012-07-10,-0.2925020000000025
2011-07-11,-0.0799999999999983
2011-07-11,-0.0799999999999983
2011-03-17,-0.17500100000000174
2011-03-20,0.030000999999998612
2011-04-14,0.0
2012-03-21,0.28249999999999886
2013-05-15,-0.48499999999999943
2013-05-15,-0.48499999999999943
2012-10-19,-0.202498999999996
2011-02-18,-0.15000000000000213
2011-02-18,-0.15000000000000213
2013-03-22,0.8125
2011-02-14,-0.02499999999999858
2011-06-09,-0.379998999999998
2012-06-07,0.04749999999999943
2011-04-01,0.26249799999999723
2011-04-01,0.26249799999999723
2012-10-16,0.34999799999999226
2012-05-29,-0.30500100000000074
2012-05-02,-1.4000000000000021
2012-07-09,-0.5124999999999993
2013-07-01,0.04000099999999662
2011-04-07,-0.02499999999999858
2011-04-07,-0.02499999999999858
2012-02-29,-0.06749899999999798
2013-06-03,0.20000100000000032
2010-11-10,0.07749899999999954
2013-09-16,0.5700000000000003
2013-09-26,0.26500000000000057
2012-03-22,0.317498999999998
2013-05-01,1.3499979999999994
2013-10-30,-0.09500100000000344
2013-10-30,-0.09500100000000344
2013-10-30,-0.09500100000000344
2011-07-13,-0.07749899999999954
2013-10-31,0.052502000000004045
2013-10-31,0.052502000000004045
2013-04-01,-0.11750099999999719
2013-04-01,-0.11750099999999719
2013-10-24,-0.17000200000000376
2012-11-09,0.3049999999999997
2012-11-09,0.3049999999999997
2012-01-27,-0.0650010000000023
2010-07-29,0.44000099999999875
2010-07-29,0.44000099999999875
2013-05-20,0.002503000000004363
2010-04-27,-0.027499999999999858
2010-04-26,-0.75
2012-04-10,-0.16000000000000014
2013-05-02,0.6449959999999919
2013-08-20,1.2825009999999963
2013-08-20,1.2825009999999963
2012-10-17,-0.11999899999999997
2011-11-02,0.28000100000000216
2012-02-20,-0.2650020000000026
2011-06-29,-0.46749799999999553
2011-06-29,-0.46749799999999553
2011-06-29,-0.46749799999999553
2011-09-23,-0.1774989999999974
2012-06-13,0.3074979999999954
2013-08-02,0.13499799999999595
2013-08-02,0.13499799999999595
2010-07-17,-0.24749999999999872
2011-12-27,-0.24250100000000074
2012-01-13,0.30749899999999997
2012-01-13,0.30749899999999997
2012-10-24,-0.06999900000000281
2012-10-24,-0.06999900000000281
2012-10-24,-0.06999900000000281
2011-07-14,0.01499899999999954
2011-07-14,0.01499899999999954
2010-07-26,-0.09750000000000014
2010-10-14,-0.04000100000000373
2010-11-01,0.06499900000000025
2013-04-18,0.4700020000000009
2013-04-11,-0.04000100000000373
2013-04-11,-0.04000100000000373
2013-07-26,-0.2225000000000037
2011-05-21,-0.0424989999999994
2011-10-13,0.125
2010-11-11,-0.40749899999999784
2013-09-10,0.327498999999996
2013-04-12,-0.8325010000000006
2012-07-17,0.0799999999999983
2012-06-11,0.1875
2011-07-20,-0.25
2013-08-28,0.06499899999999315
2011-04-08,0.22749899999999812
2011-04-08,0.22749899999999812
2013-07-17,0.1999969999999962
2013-01-30,-0.27249899999999627
2013-03-26,0.5125010000000003
2011-10-10,0.45000100000000387
2012-12-23,0.23749899999999968
2012-02-09,0.5274999999999999
2011-12-23,-0.14499799999999752
2012-03-02,0.019997999999997518
2011-07-29,-0.3299999999999983
2010-06-28,-0.7075010000000006
2011-05-06,0.18250100000000202
2013-10-01,-0.019995999999999015
2013-04-05,0.16249799999999937
2013-06-05,0.6650009999999966
2011-02-23,0.3125
2012-07-13,-0.26249899999999826
2012-07-13,-0.26249899999999826
2011-12-08,0.14000200000000262
2013-04-09,0.505001
2010-12-15,-2.4974990000000012
2010-12-15,-2.4974990000000012
2013-10-03,0.4599990000000034
2013-06-13,-0.28000300000000067
2011-08-09,-0.5025000000000013
2013-03-25,0.6400040000000047
2012-01-05,-0.3125
2011-07-27,-0.3024989999999974
2011-07-27,-0.3024989999999974
2011-04-11,0.027499999999999858
