Date,Open,High,Low,Close,Adj Close,Volume
2008-03-19,14.875000,17.250000,13.750000,14.125000,12.889198,708486000
2008-03-20,14.600000,16.250000,14.375000,16.087500,14.679997,198985200
2008-03-24,16.809999,16.924999,14.750000,14.932500,13.626050,149566400
2008-03-25,15.145000,16.062500,14.955000,15.812500,14.429059,87092000
2008-03-26,15.682500,16.120001,15.392500,15.990000,14.591033,43111600
2008-03-27,16.012501,16.184999,15.662500,15.727500,14.351497,39829600
2008-03-28,15.842500,15.860000,15.540000,15.690000,14.317278,24675200
2008-03-31,15.650000,15.870000,15.512500,15.590000,14.226029,22157200
2008-04-01,15.765000,15.920000,15.077500,15.402500,14.054929,60410800
2008-04-02,15.430000,15.580000,15.125000,15.580000,14.216905,43836400
2008-04-03,15.487500,16.572500,15.455000,16.375000,14.942348,100868000
2008-04-04,16.225000,16.330000,15.937500,16.120001,14.709655,36394400
2008-04-07,16.275000,16.450001,16.004999,16.260000,14.837409,28301600
2008-04-08,16.225000,17.059999,16.202499,17.022499,15.533195,53925600
2008-04-09,17.110001,17.180000,16.402500,16.447500,15.008505,48324400
2008-04-10,16.540001,16.682501,16.277500,16.527500,15.081506,22372000
2008-04-11,16.312500,16.692499,16.312500,16.527500,15.081506,26421600
2008-04-14,16.674999,16.809999,16.382500,16.420000,14.983415,28443600
2008-04-15,16.572500,16.637501,16.000000,16.087500,14.679997,23888000
2008-04-16,16.139999,16.737499,16.139999,16.535000,15.088349,25136800
2008-04-17,16.565001,16.937500,16.502501,16.760000,15.293662,22459600
2008-04-18,17.002501,17.612499,16.799999,17.250000,15.740792,104099600
2008-04-21,17.370001,18.125000,17.212500,17.742500,16.190201,58848000
2008-04-22,17.980000,18.100000,17.500000,17.570000,16.032793,47357600
2008-04-23,17.737499,17.924999,17.422501,17.520000,15.987176,37319600
2008-04-24,17.799999,18.247499,17.510000,18.075001,16.493614,38086800
2008-04-25,19.000000,19.020000,18.477501,18.775000,17.132368,101460000
2008-04-28,19.125000,19.322500,18.725000,18.907499,17.253277,132517200
